"","label","rawValidateRSD","SERRFValidateRSD"
"201","CSH_negESI #223",0.615145338514558,0.195029207729679
"202","CSH_negESI #223_1",0.817000254655709,0.26480020730399
"203","CSH_negESI #238",0.475721800191743,0.141841346410964
"204","CSH_negESI #251",0.456251733064275,0.105192002746817
"205","CSH_negESI #251_1",0.487655384770751,0.128607193133184
"206","CSH_negESI #252",0.465809004080116,0.233884314358716
"207","CSH_negESI #253",0.430599196444928,0.233705209851173
"208","CSH_negESI #257",0.403068878502224,0.09398066876816
"209","CSH_negESI #259",0.370688770765972,0.101794793001522
"210","CSH_negESI #261",0.264567976717233,0.123720286700082
"211","CSH_negESI #264",0.647718486154782,0.137745966633419
"212","CSH_negESI #264_1",0.624215538188606,0.170101529369521
"213","CSH_negESI #275",0.186661133770694,0.135744149261464
"214","CSH_negESI #275_1",0.270263103190391,0.146730676485029
"215","CSH_negESI #278",0.131385928530063,0.101888884337432
"216","CSH_negESI #290",0.652241160309779,0.789761877740362
"217","CSH_negESI #293",0.4704280380947,0.10334741462694
"218","CSH_negESI #293_1",0.593061255774741,0.151997352143016
"219","CSH_negESI #298",0.228767378292052,0.191384961162278
"220","CSH_negESI #298_1",0.291403498410705,0.158452725771315
"221","CSH_negESI #308",0.558192171549085,0.0635642870400774
"222","CSH_negESI #309",0.844972373919703,0.189823781283952
"223","CSH_negESI #310",0.997371155562365,0.315512478269532
"224","CSH_negESI #340",0.329354775293916,0.177133393453156
"225","CSH_negESI #344",0.251162143424311,0.132301118885547
"226","CSH_negESI #345",0.30935420045314,0.141409283426898
"227","CSH_negESI #347",0.234708779542903,0.0787645383246192
"228","CSH_negESI #365",0.281400076827823,0.116420582501062
"229","CSH_negESI #366",0.337382649507945,0.207325420981871
"230","CSH_negESI #374",0.696410535476134,0.222128159438273
"231","CSH_negESI #375",0.396782876988428,0.248272463635487
"232","CSH_negESI #376",0.713555069442916,0.211720250196764
"233","CSH_negESI #377",0.470049997792359,0.367191143844485
"234","CSH_negESI #378",0.742177820479646,0.106057376472069
"235","CSH_negESI #379",0.209252067010971,0.10707706504015
"236","CSH_negESI #380",0.290293071856882,0.094171305621523
"237","CSH_negESI #381",0.253300792658306,0.303986028089826
"238","CSH_negESI #382",0.196977743407212,0.146181922928927
"239","CSH_negESI #384",0.312481688451283,0.122151603344441
"240","CSH_negESI #385",0.272455306223369,0.11188098767645
"241","CSH_negESI #386",0.370786264036457,0.063258313360378
"242","CSH_negESI #386_1",0.285853893605683,0.165153091740341
"243","CSH_negESI #387",0.324173655771545,0.0927072432837799
"244","CSH_negESI #388",0.482794088597169,0.109377762686723
"245","CSH_negESI #389",0.398692100251355,0.256643219290465
"246","CSH_negESI #390",0.332480593751239,0.107705627096391
"247","CSH_negESI #391",0.912424406984074,0.131841661135111
"248","CSH_negESI #392",0.746589726867261,0.427928325262925
"249","CSH_negESI #393",1.05757829757446,0.635145325264657
"250","CSH_negESI #394",0.319188846950675,0.144556451473761
"251","CSH_negESI #395",1.17415649757153,0.824849203243839
"252","CSH_negESI #396",0.233842043626512,0.0493216171199936
"253","CSH_negESI #397",0.277074293951546,0.173908376240369
"254","CSH_negESI #400",0.283164280622082,0.124520241522976
"255","CSH_negESI #401",0.991927729068381,0.634930468841362
"256","CSH_negESI #500",0.188675897910946,0.071990039285033
"257","CSH_negESI #501",0.326856837361193,0.0527122286103753
"258","CSH_negESI #502",0.295542103069974,0.0989578437553004
"259","CSH_negESI #503",0.390099044187613,0.0629871836663357
"260","CSH_negESI #504",0.583700873839189,0.388426989111292
"261","CSH_negESI #505",0.49361558433069,0.122818336925077
"262","CSH_negESI #506",0.37787545899299,0.0540236509475073
"263","CSH_negESI #507",0.433980525096365,0.0475700003074994
"264","CSH_negESI #508",0.4255979225185,0.114265440240054
"265","CSH_negESI #509",0.331361322563728,0.136832835946628
"266","CSH_negESI #510",0.368724344451276,0.0877761170273124
"267","CSH_negESI #511",0.278789167092062,0.0879315960397177
"268","CSH_negESI #512",0.516371558068816,0.123679029211955
